prompt,title,essay,score,c1,c2,c3,c4,c5
22,Prerrogativa de função ou privilégio pessoal,"['Conforme argumentou a escritora francesa, \xa0Olímpia de Gouges, no documento ""Declaração dos direitos da cidadã e da mulher"", há uma grande necessidade de equiparação dos direitos entre os gêneros. Entretanto, ainda há muitas desigualdades, uma vez que, a participação feminina no mercado de trabalho, por exemplo, é bastante reduzida. Nesse contexto, devem-se analisar como a herança histórico-cultural e a participação no mercado de trabalho causam tal problema e como combatê-lo.', 'Recentemente, a pauta do foro especial por prerrogativa de função, mais popularmente conhecida como foro privilegiado, tem sido bastante discutida com as novas medidas que restringem a sua amplitude em relação àqueles que dele se beneficiam. O foro determina que ocupantes de certos cargos públicos sejam julgados por instâncias específicas do judiciário, como o supremo tribunal federal , e não pela primeira instância, como os cidadãos comuns.', 'Diversos intelectuais e pesquisadores defendem a extinção de tal foro, como ocorre em países como a Suíça e os Estados Unidos, em que não há essa especialidade. Segundo eles, o foro é herança de uma cultura de privilégios que data desde a colonização do país e a escravatura, da qual necessita-se uma urgente reforma, assim como em todo sistema político brasileiro.', 'Por outro lado, defensores do foro especial, justificam seus pontos de vista ao dizerem que a primeira instância não teria condições e a especialidade para julgar crimes e conflitos cometidos por determinadas autoridades, como os senadores e deputados federais, no período de exercício parlamentar. Além disso, o foro se destinaria a proteger o cargo, função e a atividade pública e não a pessoa que a exerce.', 'O que ocorre é que o foro de prerrogativa de função que tem essa intenção de proteção ao cargo e função pública, por desvios do sistema político brasileiro, acaba se tornando um foro de privilégios pessoais. Assim, deputados e senadores se beneficiam, não por exercerem tais atividades, mas por questões particulares que não deveriam se tornar políticas.']",800,200,200,200,200,0
46,A importância do saneamento básico,"['No Brasil atual, lugar de diversas misturas étnicas e culturais, é necessária uma maior atenção à maneira de combater a intolerância religiosa \xa0que se mostra presente há muito tempo. Conforme a Constituição Federal promulgada em 1988, o Estado é laico e todos possuem liberdade de escolha da religião que deseja seguir. A perseguição religiosa acontece nos mais diversos lugares, como nas escolas, no trabalho e nas redes sociais. Manifesta-se através \xa0de difamações, de discriminação e por atos violentos que atentem à integridade física das pessoas cuja crença não corresponda à determinada visão. Para se combater a intolerância religiosa, é preciso uma série de medidas preventivas. As instituições religiosas devem promover o respeito e a aceitação da diversidade de religiões no país durante suas pregações. Além disso, no meio escolar, local de convivência de diferentes grupos religiosos, faz-se mister a promoção de palestras e campanhas de conscientização. Outrossim, o poder público pode criar mecanismos eficientes de queixa desse tipo de preconceito, como um aplicativo de denúncia “online ”. É imprescindível que a Justiça adote punições aos intolerantes, como multas em casos mais sutis e prisão nos mais graves. Portanto, novas medidas são necessárias para resolver o entrave, principalmente nos meios governamentais, educativos e religiosos. Aperfeiçoar a tolerância às diferenças através  do bom senso e do respeito à diversidade é indispensável para o bem-estar da sociedade.', 'Muitos veem o saneamento básico como algo comum e que toda a população tem acesso. Porém, na verdade, em pleno século XXI, grande parte da sociedade brasileira ainda não tem esse acesso, o que gera muitos problemas . E, por esse motivo, a privatização do saneamento é uma ideia que visa fazer com que tal situação mude.', 'No Estado de São Paulo,\xa0 há muitos bairros em condições precárias onde água tratada e o sistema de esgoto não é capaz de chegar. Tais serviços impactam diretamente na saúde, na qualidade de vida e no desenvolvimento da sociedade como um todo, ou seja, sem esses serviços, muitos começam a desenvolver doenças capazes de levar até a morte , principalmente as crianças, as quais possuem um sistema imunológico mais fraco que os adultos, fato preocupante que deve ser levado em consideração pelo governo do Estado.', 'Os serviços do saneamento básico são fundamentais para a promoção da qualidade ambiental e da saúde das populações. Além de fazer um mal imenso às pessoas, a falta desse serviços também atinge os animais e a natureza, o que prova, mais uma vez, a grande necessidade de uma solução, para esse problema, a qual está sendo vista como a privatização da Sabesp . Tal atitude tem seus benefícios, mas também seus malefícios, já que, com empresas privadas, os custos dos serviços prestados aumentam para suprir as despesas que eram pagas por meio da arrecadação de impostos quando a empresa era estatal, por exemplo.', 'Dessa forma, é de suma importância que seja discutida pelo Estado , o mais breve possível, a questão da privatização do saneamento para que pessoas, animais e a natureza, de uma forma geral, não fiquem mais doentes por conta da falta de saneamento que, como já diz o próprio nome, é básico e, assim, deve ser acessível a todos.']",720,160,160,120,120,160
45,Estruturas de poder ainda são mantidas,"['O quão difícil pode ser o caminho para chegar nos altos pódios, a indústria do esporte desde o início dos grandes eventos como os jogos olímpicos\xa0\xa0enfrenta a dificuldade de garantir competições justas, no universo esportivo feminino que teve seu início mediado pelos próprios homens, o que gerou testes comprobatórios absurdos como a necessidade de ficar nua na frente de médicos que iriam julgar se ela era realmente uma mulher . Mas o mundo avançou e as mulheres vm quebrando com esse pensamento patriarcal, mas ainda enfrentam a necessidade de provar quem realmente são.', 'Em uma matéria publicada pelo uol mostra um policial militar pisando o pescoço de uma mulher negra de 51 anos, em uma sociedade desigual esse ocorrido viabiliza mais ainda o abuso de autoridade cometidos por pessoas responsáveis pela segurança da civilização . Dessa forma, em razão da insuficiência legislativa e a má influência midiática , emerge um problema complexo, que precisa ser revertido.', 'Primeiramente, é preciso salientar que insuficiência legislativa é uma causa latente do problema. Segundo o filósofo Foucault, na sociedade pós-moderna, muitos temas são silenciados para que estruturas de poder sejam mantidas. Diante disso verifica-se uma lacuna em torno dos debates sobre a má conduta de autoridades públicas, o que contribui para o conhecimento populacional da questão, tornando sua resolução mais dificultada.', 'Em segundo plano, outra causa para configuração do problema é a má influência midiática. Casos como a da mulher negra foi pisoteada por policial civil e do desembargador Eduardo Almeida Prado Rocha de Siqueira flagrado destratando um guarda civil, se tornaram assuntos abafados mídia que tem o dever de tornar públicos situações como essa , visto que não tem cumprido no papel de informar e de viabilizar essas notícias de formar imparcial.', 'Portanto, um intervenção faz-necessária. Para isso, é preciso que governos estaduais em parceria com as escolas, promovam um espaço para debates no ambiente escolar. Tais eventos podem ocorrer em período de contraturno, contando com a presença de professores e pessoas de pessoas que passaram pelo abuso acometido por autoridades. Além disso, esses eventos devem ser abertos à comunidade, a fim de que mais pessoas compreendam a importância da denúncia de atitudes cometidas por autoridades públicas que fogem completamento do senso ético e se tornem cidadãos atuantes na busca das resoluções. A partir dessas informações, poderá se configurar um Brasil melhor.']",920,160,200,160,200,200
71,Transtorno (in)esperado,"['No Brasil os pensamentos e as atitudes que segrega as raças humanas são frutos da era colonial, devido a ideia estabelecida pelos portugueses de superioridade sobre os escravos negros. Apesar da abolição da escravatura ter ocorrido durante o século XIX, o cenário hodierno continua sendo marcado pela exclusão histórica sobre os negros no âmbito econômico e educacional, tornando-se imprescindível considerar os caminhos\xa0\xa0combater os desafios enfrestadospor esses.', 'No período colonial brasileiro era comum o uso da mão de obra escrava nas fazendas açucareiras. Submetidos a péssimas condições de trabalho e maus tratos, muitas vezes os vassalos optavam por tirar sua própria vida a continuar em tal situação. Atualmente, atitudes como essa não são difíceis de se encontrar, visto que o suicídio é um problema que se alastra entre os jovens e necessita de maior atenção da sociedade para a sua resolução.', 'Exemplificando, de acordo com o sociólogo Émile Durkheim os fatores sociais que geram um autocídio não age sobre um indivíduo isolado, mas sobre o conjunto da massa populacional. Tal pensamento demonstra que o que leva uma pessoa a matar-se é como esta relaciona-se em grupo ou como o próprio a recebe, visto que nas escolas contemporâneas é comum a prática de bullying entre colegas, geralmente ocasionado pela exclusão social. Considerado um tabu , tal situação é evidenciada em um programa de televisão americana, Os 13 porquês, mostrando como um suicídio pode influenciar negativamente o cotidiano de adolescentes.', 'Seguidamente, tal obstáculo não fica restrito somente aos jovens. Pesquisas apontam que os idosos são os que mais tentam tirar a própria vida por sentirem-se sozinhos ou abandonados, entretanto, não obtm o êxito esperado diante de complicações geradas durante o processo. Esse cenário de dificuldades em ambas as faixas etárias ocasiona certo transtorno a todos ligados emocionalmente ao indivíduo que faz esse tipo de escolha, demonstrando que o suicídio, após efetuado, pode trazer consequências irreversíveis.', 'Em suma, o suicídio é um problema social que sem devida resolução pode tornar-se um estorvo para toda a sociedade. Assim, faz-se necessário que o MEC (Ministério da Educação e Cultura) em conjunto. com o Governo Estadual disponibilize psicólogos que estejam prontos para ouvir adolescentes e idosos, isso através de campanhas feitas em escolas públicas e asilos, alertando toda a população dos males causados por tal situação. Desta forma, o autocídio não será mais um problema e a sociedade poderá ver a continuação do progresso.']",680,120,160,120,160,120
19,A boca invisível,"['O livro, “Quarto de despejo: diário de uma favelada”, retrata o cotidiano de Carolina Maria de Jesus em um local sem saneamento básico . Nota-se, que diversas famílias ainda vivem em situações semelhantes, e para contornar a situação o Governo pretende privatizar o meio de higiene e de bemestar porém, intensificando consequentemente um problema de desigualdade social causado por má ambição.', 'Com certeza, um dos assuntos mais comentados e discutidos esse ano foram as notícias falsas e suas possíveis implicações nas eleições presidenciais. Divulgadas em plataformas que possibilitam a interação dos indivíduos, como o facebook e o twitter , tais notícias (que não são notícias) têm grandes influências sobre pessoas que não conhecem seus verdadeiros propósitos.', 'Infelizmente, as redes sociais, o meio que pensamos ser o mais democrático para se informar, discutir e verificar os fatos e as notícias, são palco para indivíduos não preocupados com a verdade e a busca de melhorias para todos, e sim com o próprio umbigo e a garantia de seus poderes. Em se tratando de política, são pessoas e movimentos muitas vezes extremamente radicais que não toleram diferenças ou mesmo o diálogo, e criam perfis falsos para divulgar informações nem sempre verdadeiras a seu favor e atacar adversários, disseminando, assim, o ódio.', 'Esse é um cenário preocupante, visto a proximidade das eleições presidenciais e o impacto que esses perfis geram na escolha do candidato. Para se ter ideia da gravidade da situação, em 2016 Donald Trump foi eleito nos EUA com a ajuda da boca invisível, os boatos virtuais. Além disso, um dos movimentos que tiveram grande protagonismo no impeachment da presidenta Dilma Rousseff teve 87 perfis retirados do ar recentemente pelo próprio Facebook por “violar severamente as políticas de autenticidade da rede social”, segundo o jornal Folha de S. Paulo.', 'Nós, cidadãos, devemos ficar bastante atentos às informações que nos é passada , principalmente via redes sociais, inclusive o Whatsapp. É necessário verificar sempre as fontes das notícias ou apurá-las em jornais reconhecidos para saber se não estamos caindo em alguma armadilha. Além disso, para contornar o problema, jornais e profissionais da comunicação estão cada vez mais criando plataformas de checagem de informações; a Agência Lupa da revista Piauí e a Truco da Agência Pública são dois bons exemplos desse novo serviço da área.']",1000,200,200,200,200,200
83,"O esporte faz bem, para o corpo, a mente e vida*","['As fakes news, ou informações falsas, mostraram-se ser uma má influência nas recentes eleições internacionais. Já aqui, com as disputas nacionais se aproximando, o Brasil ainda não possui uma única medida que possa evitar que esss hoaxes façam o mesmo.', 'Esporte é o nome dado às atividades físicas realizadas por pessoas que são submetidas a regulamentos e competições. O esporte é importante para o indivíduo por que , além de prevenir diversas doenças, contribui e desenvolve a formação física e psíquica do praticante, auxiliando com os aspectos afetivos, sociais, cognitivos e biológicos presentes na prática.', 'Mas a importância do esporte vai além da saúde e da boa forma, na vida de brasileiros carentes, através dele é possível tirar jovens das drogas, da criminalidade e de tantos outros\xa0problemas existentes no mundo, (.) o esporte tem o poder de mostrar que nem sempre o caminho mais fácil é o correto. Além disso, o esporte trás muita disciplina para a vida do praticante, que precisa se dedicar aos treinos, seguir as regras e sempre dar o melhor de si. O governo brasileiro deviria perceber essa grande ferramenta transformadora de vidas, e investir mais no esporte para todos, com mais incentivos e oportunidades.', 'A importância do esporte na vida de todos é muito importante**, pois só traz benefícios, (.) Praticar exercícios físicos é essencial para quem está em busca de uma vida saudável! Os exercícios físicos praticados desde a infância proporcionam ao indivíduo benefícios incríveis no corpo e na mente! Tudo isso aprendemos com a prática esportiva.', 'O corpo se beneficia diariamente, pois a atividade física fortalece o tônus muscular, ajuda na flexibilidade e no fortalecimento dos ossos e articulações. Além disso, favorece a perca de peso, reduz a gordura corporal e ajuda a regular a pressão arterial. Diminui o colesterol ruim, aumenta o bom e ajuda com a diabetes.', 'Diante do exposto, mexa-se, pratique, e adote um novo estilo de vida. Escolha um esporte e se jogue. Seu físico e sua saúde agradecem, e você terá uma vida com mais alegria e mais força. Não precisa ser um atleta profissional para praticar, basta ter determinação e disciplina. Você, não ganhará medalhas nem dinheiro, mas, com toda certeza, ganhará qualidade de vida e muita disposição, e que prêmio será melhor \xa0para uma pessoa? Que uma vida saudável e feliz? O esporte é uma necessidade do corpo humano. E os governos devem fazer do esporte um direito e um dever para todos.']",760,120,160,120,160,200
51,Um vilão em nossa nação,"['O Sistema Único de Saúde (SUS) é um dos maiores serviços de saúde pública do mundo e o primeiro a proporcionar atendimento para mais de 210 milhões de habitantes. Sua relevância é na opinião da maioria inquestionável, principalmente em um país tão desigual socialmente como o Brasil, mas infelizmente sua eficácia está longe de ser a ideal para suprir todas as necessidades dos brasileiros. Enormes filas de espera, dificuldades em realizar cirurgias, falta de vacinas; vários são os problemas que demonstram uma falha governamental para com esse sistema que exige cuidados.', 'Analfabetismo funcional consiste na incapacidade de compreender textos e realizar cálculos simples apesar de entender letras e números. Numa época de visíveis avanços na área da educação, este ainda se faz presente. Este estorvo trás como sua principal consequência um forte impacto na produtividade nacional , além de ser o reflexo de um sistema de ensino deficiente.', 'Mesmo que os índices de analfabetismo estejam diminuindo, o número de pessoas com dificuldade na interpretação de um simples texto apenas aumenta . Segundo o Inaf , três em cada dez pessoas de 15 a 64 anos são consideradas analfabetas funcionais. Esse dado mostra o abandono que a educação brasileira sofre ano após ano.', 'Uma grave consequência deste problema é a repercussão na produtividade\xa0\xa0do país. De acordo com o professor doutor Issao Minami, o baixo índice de escolaridade e a má qualidade do ensino impossibilitam as pessoas de aperfeiçoares as técnicas de escrita e leitura. Este fato trás a tona circunstâncias que trabalhadores com analfabetismo funcional passam todos os dias, como por exemplo, não conseguir ler um manual de instruções de uma máquina.', 'Logo, é preciso diminuir os índices de analfabetismo funcional no Brasil. Com um maior investimento no sistema público de educação, tal como a reestruturação do ensino básico, afim de evitar que este número cresça. A partir destas ações, a perca anual de trabalhadores produtivos e qualificados será consideravelmente reduzida.']",680,160,160,120,120,120
58,,"['Em 2017, um dado proferido pela Organização das Nações Unidas (ONU) delineou o Brasil como o sétimo país com maiores taxas de morte entre jovens. Nessa perspectiva, apesar de recente, tal pesquisa reflete um cenário alicerçado na formação desigual do país, e que, portanto, mostra-se ineficaz em garantir efetivamente as normas necessárias ao desenvolvimento do sujeito. Dessa maneira, diante da marginalização de seus direitos, torna-se inegável à discussão da criminalidade entre os jovens, com o fito de evitar associação do crime a uma válvula de escape que permita a sua ascensão social.', 'A atual devastação da floresta amazônica, que vem ocorrendo excessivamente nas últimas décadas por conta das queimadas e desmatamentos desenfreados, evoca a questão da Mata Atlântica, intensivamente devastada nos séculos XVI, durante a colonização do Brasil, e XX, por conta da extração da madeira para a produção de manufaturados e dos minérios no solo, provocando a sua quase extinção. De maneira idêntica ao que ocorreu na Mata Atlântica, não foi dada pelo Estado, nem pela sociedade brasileira a verdadeira importância à erradicação de tais processos destrutivos na Amazônia.', 'Por conta de sua grande biodiversidade, a Amazônia é alvo de agropecuaristas, caçadores, extrativistas e empresas, que almejam seus produtos, animais e solo. E por isso,\xa0 realizam, em sua maioria, atividades ilegais para a obtenção dos tais. Imagens de satélites revelaram que foram desmatados 18% do total da área da floresta amazônica durante três décadas, de 1985 a 2019, equivalente a 1,6 estados de São Paulo, segundo estudo do projeto Mapbiomas.', 'Por sua vez, o número, contabilizado pelo Instituto Nacional de Pesquisas Espaciais (INPE), de focos de incêndio florestal de janeiro a agosto de 2019 é de 7.155 focos, 84% maior que em relação ao mesmo período do ano de 2018. Porém, o aumento dos incêndios em 2018, se deve à ação humana e não fatores climáticos. E o governo brasileiro não tem dado a devida importância à preservação da Amazônia, visto que 99,5% dos recursos do Fundo Amazônia, que financia tais recursos investidos no combate e prevenção de incêndios e desmatamentos na Floresta Amazônica, são doados por empresas estatais européias.', 'Portanto, os desastres ambientais ainda hoje são perdurantes e perseverantes na pós-modernidade brasileira devido à\xa0 inoperância do Estado e mornidão social.Concomitante a isso, é imprescindível uma participação maior da sociedade civil, em parceria com as escolas, disseminar conhecimento e formar cidadãos conscientes por meio de palestras\xa0 e extracurriculares na forma de fomentar o espírito de zelo para com o ecossistema e garantir sua preservação, com o escopo de alcançar uma saciedade harmônica e ecológica. E também se mostra necessários a formação de agentes e pontos fiscais que protejam a Amazônia e aplique indenizações com vista a uma comunidade sustentável.']",760,120,200,160,160,120
43,Vamos cancelar?,"['O esporte, desde os tempos mais remotos, demonstra-se uma ótima ferramenta quando nos referimos à benefícios para o corpo humano, bem estar psíquico, integração social e desenvolvimento.', 'No que se diz respeito sobre a temática da cultura do cancelamento nas redes sociais, os antigos costumes da humanidade vêm se desconstruindo no passar dos anos. O racismo passa a ser cada vez menos aceitado, piadas hostis, sobre mulheres e homossexuais por exemplo\xa0 não é mais engraçado. Assim tanto o mundo como a internet vêm cada vez mais na busca pela mudança. Com isso surgiu a cultura do cancelamento, algo que vem conquistando destaques, principalmente nas redes sociais, trata-se de um momento ao qual incentiva os indivíduos a deixarem de apoiar determinadas personalidades ou organizações, em razão de erro ou conduta reprovável.', 'A principio vale destacar o exemplo de cancelamento que foi o caso do digital influencer do mundo do futebol , em que no momento de pandemia ao qual se vive, foi mais um grupo de amigos para um show, e fez publicações. A consequência disso foi os torcedores do clube de futebol ao qual esse jogador trabalha e demais seguidores o deixar de seguir, e realizaram vídeos indignados com a irresponsabilidade do mesmo, em colocar a vida de seus colegas de trabalhos em risco.', 'Posteriormente, ocorre que afora do mero ""cancelamento"", as ofensivas virtuais tornam-se massificados e, por muitas vezes, excedem os limites da livre manifestação de pensamento de modo a ensejar, de fato, um linchamento virtual que, mesmo revestido de boa intenção, pode provocar uma propagação de discurso de ódio e ainda, incorrer em crimes como injúria ou difamação.', 'Portanto, é de suma importância entender que deve haver equilíbrio e entender que os meios de comunicação é uma forma de liberdade de comunicação, ao qual garante circulação de ideias e informações de forma pluralista, não podendo o transformar em uma atividade de autocensura, reprimindo debates de contranarrativas. Observando que a cultura de cancelamento como vem sendo utilizada afeta mais a maneira indireta e o direto de livre manifestação de liberdade de expressão, deveria ser usada de método saudável trazendo benefícios a sociedade como progresso intelectual e evolução pessoal de cada um.']",800,160,160,160,200,120
56,,"['A onstituição ederal de 1988- norma de maior hierarquia no sistema jurídico brasileiro- garante direitos fundamentais e sociais aos brasileiros. Todavia, percebe-se que na atual realidade brasileira, não há o cumprimento dessa garantia, principalmente no que diz respeito ao saneamento CC. Isso ocorre, pois, existe uma falta de investimento público para mudar a situação crítica que tantos cidadãos vivem, o que levanta questionamentos relacionados a privatização da água. Além disso, a privatização pode trazer malefícios as periferias.', 'É notório o aumento e a prevalência da criminalidade no Brasil, com isto, a superlotação nos presídios vem aumentando e causando problemas no sistema carcerário. Será que construir novos presídios para reverter o cenário da atual situação carcerária do Brasil, de fato resolveria o problema ou estaria aumentando- o? Será que outras medidas seriam mais cabíveis?', 'Assim como dito pelo filosofo René Descartes “ão existe métodos fáceis para resolver problemas difíceis”, pois bem , a construção de novas unidades prisionais não eliminaria o problema, pois o número de presos não para de crescer. Além de que, de certa forma, estaríamos\xa0 alimentando à criminalidade, logo que nos\xa0 preparando para receber mais presos, estamos esperando por mais crimes.', 'Não basta só os policiais prenderem os indivíduos, se faz necessários os julgamentos dos mesmos \xa0e suas devidas condenações, pois as prisões preventivas contribuem para a superlotação. O monitoramento eletrônico é uma alternativa para diminuir o número de presos, além de que iríamos\xa0 diminuir os custos. Pois enquanto um preso em média\xa0 custa dois mil reais, um preso monitorado custa duzentos e trinta reais, segundo Pedro Eurico, secretário de justiça e direitos humanos de Pernambuco.', 'Tendo em vista os aspectos apresentados, a superlotação acontece devido ao conjunto de fatores . Não devemos investir em presídios, e sim em medidas para diminuir o número de crimes, que consequentemente gera mais presos. No entanto\xa0\xa0para amenizar esta superlotação, é preciso realizar os julgamentos com mais agilidade, para desafogar o sistema, além do uso do monitoramento eletrônico, que diminuiria a quantidade de presos em celas.']",680,120,160,120,160,120
